Server_Name,NumOfSocket,CPU_Type,CPU_Clock(GHz),CPU_Cores,CPU_Threads,CPU_Mem(GB),CPU_L3_Cache(MB),GPU_Type,GPU_Clock(GHz),NumOfSM,SP/SM,GPU_Mem(GB),Available_GPU_Mem(GB),GPU_L2_Cache(MB),CC,NumOfCE,PCIe,Total_Workload,timestep,nthreads,Initial_GPU_Workload,CPU/GPU_Workload_Ratio
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,19000,1,12,1000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,19000,1,12,1000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,19000,1,12,1000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,19000,1,12,1000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,21000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,21000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,21000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,21000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,21000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,21000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,21000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,21000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,21000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,21000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,23000,1,12,3000,2
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,23000,1,12,3000,2
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,23000,1,12,3000,2
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,23000,1,12,3000,2
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,23000,1,12,3000,2
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,23000,1,12,3000,2
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,23000,1,12,3000,2
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,23000,1,12,3000,2
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,23000,1,12,3000,2
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,23000,1,12,3000,2
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,25000,1,12,3000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,25000,1,12,3000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,25000,1,12,3000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,25000,1,12,3000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,25000,1,12,3000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,25000,1,12,3000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,25000,1,12,3000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,25000,1,12,3000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,25000,1,12,3000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,25000,1,12,3000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,27000,1,12,2000,1
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,27000,1,12,2000,1
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,27000,1,12,2000,1
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,27000,1,12,2000,1
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,27000,1,12,2000,1
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,27000,1,12,2000,1
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,27000,1,12,2000,1
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,27000,1,12,2000,1
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,27000,1,12,2000,1
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,27000,1,12,2000,1
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,29000,1,12,4000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,29000,1,12,4000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,29000,1,12,4000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,29000,1,12,4000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,29000,1,12,4000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,29000,1,12,4000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,29000,1,12,4000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,29000,1,12,4000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,29000,1,12,4000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,29000,1,12,4000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,31000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,31000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,31000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,31000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,31000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,31000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,31000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,31000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,31000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,31000,1,12,4000,0.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,33000,1,12,3000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,33000,1,12,3000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,33000,1,12,3000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,33000,1,12,3000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,33000,1,12,3000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,33000,1,12,3000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,33000,1,12,3000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,33000,1,12,3000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,33000,1,12,3000,1.5
hive,1,Intel,3.2,6,12,30,12,GTX680,1.06,8,192,2,2,0.5,3,1,5.6,33000,1,12,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,17000,1,4,4000,1
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,17000,1,4,4000,1
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,17000,1,4,4000,1
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,17000,1,4,4000,1
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,17000,1,4,4000,1
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,17000,1,4,4000,1
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,17000,1,4,4000,1
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,17000,1,4,4000,1
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,17000,1,4,4000,1
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,17000,1,4,4000,1
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,19000,1,4,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,19000,1,4,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,19000,1,4,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,19000,1,4,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,19000,1,4,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,19000,1,4,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,19000,1,4,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,19000,1,4,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,19000,1,4,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,19000,1,4,3000,1.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,21000,1,4,2000,1.75
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,21000,1,4,2000,1.75
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,21000,1,4,2000,1.75
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,21000,1,4,2000,1.75
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,21000,1,4,2000,1.75
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,21000,1,4,2000,1.75
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,21000,1,4,2000,1.75
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,21000,1,4,2000,1.75
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,21000,1,4,2000,1.75
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,21000,1,4,2000,1.75
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,23000,1,4,4000,0.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,23000,1,4,4000,0.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,23000,1,4,4000,0.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,23000,1,4,4000,0.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,23000,1,4,4000,0.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,23000,1,4,4000,0.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,23000,1,4,4000,0.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,23000,1,4,4000,0.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,23000,1,4,4000,0.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,23000,1,4,4000,0.5
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,25000,1,4,3000,1.25
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,25000,1,4,3000,1.25
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,25000,1,4,3000,1.25
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,25000,1,4,3000,1.25
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,25000,1,4,3000,1.25
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,25000,1,4,3000,1.25
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,25000,1,4,3000,1.25
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,25000,1,4,3000,1.25
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,25000,1,4,3000,1.25
ccsl,1,Intel,3.4,4,8,16,8,K20,0.75,15,192,12,2,1.5,3.5,2,10.3,25000,1,4,3000,1.25
